,latitude,longitude,brightness
371,-31.7644,152.2733,331.1
372,-31.7659,152.2628,330.8
373,-31.7796,152.168,331.1
374,-31.7699,152.1702,321.7
375,-31.7715,152.1596,330.6
376,-31.7625,152.1578,335.2
377,-31.764,152.1473,332.4
378,-31.7746,152.0736,352.5
379,-31.7761,152.0631,399.5
380,-31.7776,152.0526,335.6
381,-31.7821,152.02100000000002,406.1
382,-31.7836,152.0104,442.5
383,-31.7852,151.9999,356.3
384,-31.7867,151.9894,403.9
385,-31.7881,151.9789,375.7
386,-31.755,152.1455,328.8
387,-31.7641,152.0824,326.5
388,-31.7656,152.0718,351.7
389,-31.7671,152.0613,371.1
390,-31.7686,152.0508,339.4
391,-31.7701,152.0403,330.8
392,-31.7716,152.0297,335.1
393,-31.7731,152.0192,395.5
394,-31.7746,152.0087,438.1
395,-31.7762,151.9981,355.1
396,-31.7777,151.9876,336.8
397,-31.7791,151.9771,341.2
398,-31.7806,151.9666,343.7
399,-31.7109,152.3859,327.3
400,-31.746,152.1437,327.3
401,-31.7566,152.07,335.1
402,-31.7641,152.0174,326.1
403,-31.7657,152.0069,328.9
404,-31.7717,151.9648,363.3
405,-31.7732,151.9542,348.1
406,-31.6988,152.4052,332.5
407,-31.7004,152.3946,375.8
408,-31.7019,152.384,352.8
409,-31.730999999999998,152.1839,324.8
410,-31.7355,152.1524,345.9
411,-31.737,152.1419,340.4
412,-31.7476,152.0682,343.2
413,-31.7491,152.0577,336.0
414,-31.7627,151.963,335.3
415,-31.6914,152.3927,350.1
416,-31.6929,152.3822,347.8
417,-31.7265,152.1506,325.9
418,-31.728,152.1401,328.1
419,-31.7386,152.0664,342.3
420,-31.7401,152.0559,380.6
421,-31.6824,152.3909,368.8
422,-31.6839,152.3803,379.0
423,-31.6855,152.3698,332.0
424,-31.7492,151.9278,324.6
425,-31.6795,152.3469,354.0
426,-31.6811,152.3364,376.2
427,-31.6826,152.3259,419.1
428,-31.7387,151.9366,335.5
429,-31.7402,151.9261,339.9
430,-31.6706,152.345,332.1
431,-31.6721,152.3346,338.1
432,-31.6736,152.3241,349.6
433,-31.6751,152.3136,339.0
434,-31.695,152.1767,333.9
435,-31.6981,152.1557,327.9
436,-31.7147,152.04,339.0
437,-31.7162,152.0295,374.9
438,-31.7177,152.019,348.6
439,-31.7207,151.9979,341.4
440,-31.7222,151.9874,343.3
441,-31.7237,151.9769,400.1
442,-31.7252,151.9664,376.5
443,-31.7267,151.9559,338.1
444,-31.7282,151.9454,354.8
445,-31.7297,151.9348,328.6
446,-31.7312,151.9243,338.1
447,-31.6646,152.3223,363.8
448,-31.6662,152.3118,398.7
449,-31.6677,152.3012,357.9
450,-31.6738,152.2591,339.1
451,-31.6753,152.2486,340.5
452,-31.6845,152.1855,327.3
453,-31.686,152.1749,391.4
454,-31.6875,152.1644,335.9
455,-31.7117,151.9961,386.8
456,-31.7132,151.9856,369.5
457,-31.7147,151.9751,368.3
458,-31.7162,151.9646,340.5
459,-31.7177,151.9541,379.0
460,-31.7192,151.9436,416.8
461,-31.7207,151.9331,385.2
462,-31.7222,151.9226,354.3
463,-31.7237,151.9121,343.9
464,-31.6591,152.3048,360.2
465,-31.6606,152.2943,354.1
466,-31.6621,152.2837,335.0
467,-31.6636,152.2732,345.4
468,-31.6652,152.2627,359.1
469,-31.6667,152.2522,365.8
470,-31.6682,152.2416,335.0
471,-31.6713,152.2206,351.4
472,-31.6728,152.21,349.7
473,-31.6743,152.1995,337.7
474,-31.6758,152.189,362.2
475,-31.6773,152.1785,347.3
476,-31.6789,152.168,338.4
477,-31.7061,151.9786,336.5
478,-31.7076,151.9681,328.8
479,-31.7091,151.9576,334.2
480,-31.7105,151.9471,392.7
481,-31.712,151.9366,392.0
482,-31.7135,151.9261,352.3
483,-31.715,151.9156,339.4
484,-31.6501,152.303,326.5
485,-31.6516,152.2924,328.1
486,-31.6531,152.2819,360.3
487,-31.6546,152.2713,369.9
488,-31.6562,152.2608,368.9
489,-31.6577,152.2503,369.9
490,-31.6638,152.2082,357.2
491,-31.6653,152.1977,335.4
492,-31.6668,152.1871,376.6
493,-31.6683,152.1766,357.8
494,-31.703000000000003,151.9348,387.8
495,-31.7045,151.9243,413.7
496,-31.706,151.9138,333.7
497,-31.7135,151.8611,339.9
498,-31.6941,151.933,370.3
499,-31.6956,151.9225,374.5
500,-31.6971,151.912,371.1
501,-31.6985,151.9015,336.3
502,-31.7,151.891,341.9
503,-31.7016,151.8804,349.9
504,-31.7045,151.8594,341.9
505,-31.6881,151.9102,363.8
506,-31.6896,151.8997,365.6
507,-31.691,151.8892,372.1
508,-31.6926,151.8786,379.7
509,-31.6955,151.8576,362.2
510,-31.697,151.8471,339.1
511,-31.6806,151.8979,372.9
512,-31.6821,151.8874,362.7
513,-31.6836,151.8769,333.8
514,-31.6141,152.2956,321.2
515,-31.6199,151.8037,424.6
516,-31.6214,151.7932,399.8
517,-31.6229,151.7827,332.7
518,-31.6244,151.7722,348.2
519,-31.6109,151.80200000000002,320.8
520,-31.6124,151.7915,378.9
521,-31.6139,151.781,367.0
522,-31.6034,151.7897,373.5
523,-31.6049,151.7792,352.5
524,-31.5113,152.3657,341.3
525,-31.5128,152.3551,328.5
526,-31.5007,152.3744,333.8
527,-31.5023,152.3638,338.5
528,-31.4964,152.3409,326.8
529,-31.4979,152.3303,355.7
530,-31.4994,152.3199,331.2
531,-31.4889,152.3285,347.4
532,-31.4905,152.31799999999998,341.7
533,-31.4799,152.3268,358.9
534,-31.4815,152.3163,363.5
535,-31.4891,152.2637,335.3
536,-31.4759,152.2988,356.6
537,-31.4774,152.2883,354.1
538,-31.479,152.2778,332.8
539,-31.4866,152.2252,366.5
540,-31.4881,152.2147,400.8
541,-31.4761,152.2339,327.0
542,-31.4776,152.2234,378.2
543,-31.4791,152.2129,358.6
544,-31.4806,152.2024,355.2
545,-31.4441,152.3899,343.9
546,-31.4456,152.3793,336.7
547,-31.4716,152.2006,352.5
548,-31.4732,152.1901,338.0
549,-31.4366,152.3775,339.7
550,-31.4382,152.36700000000002,342.0
551,-31.4397,152.3565,345.5
552,-31.4642,152.1882,358.3
553,-31.4657,152.1777,334.3
554,-31.395,152.597,324.0
555,-31.3966,152.5864,339.1
556,-31.3801,152.5722,332.9
557,-31.3848,152.5405,331.4
558,-31.4372,152.1829,327.9
559,-31.3696,152.5809,317.3
560,-31.3774,152.5282,324.7
561,-31.3789,152.5176,338.4
562,-31.3606,152.5789,336.6
563,-31.3621,152.5683,348.0
564,-31.3637,152.5579,348.0
565,-31.3515,152.5771,358.0
566,-31.3531,152.5665,362.9
567,-31.3547,152.556,352.2
568,-31.3656,152.4823,342.6
569,-31.3671,152.4718,327.8
570,-31.3703,152.4507,342.1
571,-31.3718,152.4402,343.5
572,-31.4133,152.1565,321.8
573,-31.3091,152.8017,316.6
574,-31.3107,152.791,321.5
575,-31.3608,152.4529,406.2
576,-31.3623,152.4423,359.0
577,-31.4036,152.1586,335.2
578,-31.4052,152.1482,340.1
579,-31.3518,152.451,335.9
580,-31.3533,152.4404,325.2
581,-31.3626,152.3773,363.9
582,-31.3641,152.3668,371.7
583,-31.3916,152.1779,332.0
584,-31.3505,152.3965,324.9
585,-31.351999999999997,152.386,344.8
586,-31.3536,152.3755,338.7
587,-31.3551,152.365,338.7
588,-31.3566,152.3546,325.8
589,-31.3582,152.3441,328.4
590,-31.2867,152.7641,337.4
591,-31.2883,152.7536,347.1
