latitude,longitude,frp
-31.712,151.9366,192.0
-31.712,152.4202,60.6
-31.7118,151.9895,12.8
-31.7117,151.9961,165.3
-31.7109,152.3859,11.6
-31.7108,152.0408,19.6
-31.7105,151.9471,195.0
-31.7099,152.4183,19.1
-31.7097,152.0379,19.4
-31.7091,151.9576,18.4
-31.7091,151.9749,51.3
-31.7076,151.9681,10.0
-31.7075,151.9912,63.5
-31.7069,152.023,32.9
-31.7068,152.4452,45.9
-31.7062,151.9595,44.8
-31.7061,151.9786,19.9
-31.706,151.9138,16.9
-31.7047,152.4494,19.8
-31.7045,151.8594,32.3
-31.7045,151.9243,328.2
-31.704,152.0074,26.8
-31.7036,151.9454,29.8
-31.703000000000003,151.9348,173.2
-31.7022,152.4356,30.4
-31.7019,152.384,54.3
-31.7016,151.8804,45.7
-31.7016,152.4701,20.2
-31.7011,151.99200000000002,70.6
-31.7004,152.3946,124.7
-31.7,151.891,29.8
-31.6995,152.4212,24.5
-31.699,152.4164,56.1
-31.6988,152.4052,21.3
-31.6985,151.9015,22.0
-31.6983,151.9771,30.6
-31.6981,152.1557,17.3
-31.6971,151.912,105.0
-31.697,151.8471,30.1
-31.6969,151.9117,40.9
-31.6969,152.4664,20.1
-31.6956,151.9225,117.1
-31.6955,151.8576,80.4
-31.6954,151.9613,25.2
-31.695,152.1767,22.7
-31.6943,152.4519,14.9
-31.6941,151.933,103.8
-31.6938,152.441,58.1
-31.6934,151.864,26.9
-31.6929,152.3822,45.7
-31.6926,151.8786,138.2
-31.6925,151.9463,54.4
-31.6917,152.4378,18.2
-31.6916,151.9377,65.3
-31.6914,152.3927,51.9
-31.691,151.8892,108.1
-31.6897,151.9314,61.8
-31.6896,151.8997,88.2
-31.6891,152.424,18.6
-31.689,151.8853,59.6
-31.6886,152.4658,36.1
-31.6884,152.1503,8.1
-31.6881,151.9102,83.5
-31.688000000000002,152.7912,15.1
-31.6875,152.1644,26.5
-31.686999999999998,151.917,46.7
-31.6868,151.8327,30.8
-31.6865,152.4097,11.6
-31.6862,152.4113,51.7
-31.686,152.1749,195.4
-31.6856,151.8374,34.0
-31.6856,152.1647,14.2
-31.6855,152.3698,21.0
-31.6845,152.1855,14.6
-31.684,151.9097,52.8
-31.6839,152.3803,140.0
-31.6839,152.4546,10.7
-31.6836,151.8769,21.8
-31.6833,152.1753,14.2
-31.6826,152.3259,375.3
-31.6824,152.3909,103.8
-31.6821,151.8874,81.1
-31.6813,151.8867,38.7
-31.6813,152.4406,39.2
-31.6811,152.3364,126.5
-31.680999999999997,151.8593,26.0
-31.6806,151.8979,115.1
-31.6795,152.3469,59.6
-31.6789,152.168,31.1
-31.6788,152.42700000000002,34.3
-31.6785,152.366,17.2
-31.6784,152.3824,64.1
-31.6777,151.8777,63.6
-31.6777,152.18200000000002,17.7
-31.6773,152.1785,47.0
-31.6763,152.4137,30.9
-31.6761,151.9186,15.1
-31.676,151.8836,77.0
-31.6758,152.189,81.5
-31.6758,152.3518,14.6
-31.6754,152.3315,29.5
-31.6753,152.2486,31.8
-31.6751,152.3136,28.1
-31.675,152.1673,15.6
-31.675,152.3493,62.9
-31.6744,151.8277,12.4
-31.6743,152.1995,27.2
-31.6738,152.2591,29.9
-31.6737,152.3995,18.9
-31.6737,152.4046,64.1
-31.6736,152.3241,47.5
-31.6735,152.2228,43.4
-31.6732,151.9032,41.2
-31.6728,151.9025,45.8
-31.6728,152.21,49.5
-31.6721,152.3346,27.8
-31.6713,152.2206,53.0
-31.6711,152.3851,35.7
-31.6708,152.1696,39.4
-31.6707,152.3537,92.9
-31.6706,152.345,20.0
-31.6704,152.3718,295.4
-31.6697,152.2287,73.3
-31.6684,152.2477,58.7
-31.6683,152.1766,71.8
-31.6683,152.3702,37.7
-31.6682,152.2416,22.2
-31.6677,152.3012,64.0
-31.6674,152.246,32.8
-31.6673,152.1858,30.5
-31.6668,152.1871,130.7
-31.6667,152.2522,90.4
-31.6662,152.3118,230.1
-31.666,152.1929,62.6
-31.666,152.3759,599.9
-31.6658,152.3941,502.7
-31.6655,152.355,26.9
-31.6653,152.1977,25.5
-31.6652,152.2627,70.7
-31.6647,152.252,52.6
-31.6646,152.1711,26.3
-31.6646,152.2313,42.7
-31.6646,152.3223,81.7
-31.6638,152.2082,69.1
-31.6636,152.2732,38.6
-31.6634,152.4028,23.7
-31.6623,152.328,45.1
-31.6621,152.2837,21.0
-31.662,152.2168,68.5
-31.6619,152.3459,111.5
-31.660999999999998,152.3991,412.6
-31.6607,152.2185,71.6
-31.6607,152.388,175.2
-31.6606,152.2943,57.2
-31.6596,152.2639,15.3
-31.6594,152.2028,69.0
-31.6591,152.3048,73.6
-31.6578,152.3725,157.3
-31.6577,152.2503,105.0
-31.6574,152.3513,174.5
-31.6572,152.369,157.0
-31.6571,152.2502,21.2
-31.6568,152.1886,13.4
-31.6562,152.2405,56.3
-31.6562,152.2608,101.0
-31.6556,152.3943,70.3
-31.6548,152.3567,60.3
-31.6546,152.2713,103.6
-31.6543,152.3011,37.5
-31.6535,152.3201,68.7
-31.6531,152.2819,75.0
-31.6528,152.3787,109.3
-31.6525,152.3916,49.2
-31.6524,152.3746,63.3
-31.6521,152.3417,32.1
-31.6517,152.2808,27.4
-31.6516,152.2203,26.1
-31.6516,152.2924,14.8
-31.6512,152.2646,77.9
-31.6501,152.303,13.1
-31.6501,152.3634,60.7
-31.65,152.3897,28.6
-31.6493,152.2675,100.7
-31.6491,152.3252,131.0
-31.6487,152.3433,58.6
-31.6474,152.3484,25.8
-31.6472,152.3744,24.9
-31.6466,152.2531,57.6
-31.6466,152.3123,20.4
-31.6458,152.2907,149.1
-31.6447,152.3335,43.2
-31.644000000000002,152.2982,24.7
-31.6421,152.3189,43.5
-31.6412,152.2835,34.9
-31.6408,152.315,120.9
